lat,lon,count,time
31.1,121.65,8,2019-12-16 15:13:41
31.7,120.55,2,2019-12-16 15:13:41
28.5,121.3,12,2019-12-16 15:13:41
28.45,117.75,2,2019-12-16 15:13:41
28.45,117.8,2,2019-12-16 15:13:41
31.1,119.5,2,2019-12-16 15:13:41
29.25,121.35,1,2019-12-16 15:13:41
28.5,121.25,2,2019-12-16 15:13:41
27.6,120.45,3,2019-12-16 15:13:41
27.6,120.5,10,2019-12-16 15:13:41
31.45,121.15,22,2019-12-16 15:13:41
31.35,121.1,5,2019-12-16 15:13:41
31.35,121.05,30,2019-12-16 15:13:41
31.7,117.25,5,2019-12-16 15:13:41
31.7,117.3,4,2019-12-16 15:13:41
29.25,120.0,91,2019-12-16 15:13:41
26.75,119.7,17,2019-12-16 15:13:41
30.3,120.35,2,2019-12-16 15:13:41
31.55,120.35,2,2019-12-16 15:13:41
30.3,120.4,4,2019-12-16 15:13:41
30.5,119.7,1,2019-12-16 15:13:41
26.05,117.45,2,2019-12-16 15:13:41
31.55,120.8,6,2019-12-16 15:13:41
28.35,121.6,4,2019-12-16 15:13:41
31.3,121.3,7,2019-12-16 15:13:41
27.75,120.75,2,2019-12-16 15:13:41
31.6,120.8,28,2019-12-16 15:13:41
31.3,121.25,23,2019-12-16 15:13:41
28.8,118.9,2,2019-12-16 15:13:41
31.5,120.1,11,2019-12-16 15:13:41
28.7,118.55,5,2019-12-16 15:13:41
30.0,120.6,10,2019-12-16 15:13:41
30.0,120.55,36,2019-12-16 15:13:41
26.2,118.85,59,2019-12-16 15:13:41
28.7,118.2,1,2019-12-16 15:13:41
26.7,119.55,10,2019-12-16 15:13:41
31.15,121.3,96,2019-12-16 15:13:41
31.15,121.25,11,2019-12-16 15:13:41
31.5,120.5,4,2019-12-16 15:13:41
28.15,120.4,2,2019-12-16 15:13:41
29.2,119.95,3,2019-12-16 15:13:41
27.15,118.05,4,2019-12-16 15:13:41
31.25,121.0,59,2019-12-16 15:13:41
31.4,118.55,1,2019-12-16 15:13:41
31.35,120.35,2,2019-12-16 15:13:41
31.9,120.75,2,2019-12-16 15:13:41
29.15,119.8,5,2019-12-16 15:13:41
31.85,119.15,1,2019-12-16 15:13:41
31.6,118.85,5,2019-12-16 15:13:41
30.1,120.35,12,2019-12-16 15:13:41
31.4,118.95,1,2019-12-16 15:13:41
30.3,119.3,1,2019-12-16 15:13:41
29.45,120.9,3,2019-12-16 15:13:41
30.95,118.7,11,2019-12-16 15:13:41
28.7,120.05,8,2019-12-16 15:13:41
28.85,118.4,4,2019-12-16 15:13:41
29.6,120.85,9,2019-12-16 15:13:41
30.35,120.3,10,2019-12-16 15:13:41
29.75,121.55,8,2019-12-16 15:13:41
30.4,120.65,2,2019-12-16 15:13:41
29.6,118.2,2,2019-12-16 15:13:41
31.4,117.7,3,2019-12-16 15:13:41
31.2,119.15,2,2019-12-16 15:13:41
27.8,121.1,2,2019-12-16 15:13:41
31.6,118.95,6,2019-12-16 15:13:41
31.65,117.2,3,2019-12-16 15:13:41
28.2,121.0,2,2019-12-16 15:13:41
28.2,121.35,3,2019-12-16 15:13:41
31.8,121.65,50,2019-12-16 15:13:41
30.7,121.25,2,2019-12-16 15:13:41
31.85,117.95,1,2019-12-16 15:13:41
28.25,120.7,2,2019-12-16 15:13:41
30.55,119.5,7,2019-12-16 15:13:41
28.7,118.5,2,2019-12-16 15:13:41
29.6,120.15,9,2019-12-16 15:13:41
28.25,120.3,1,2019-12-16 15:13:41
27.55,120.55,3,2019-12-16 15:13:41
30.5,120.0,8,2019-12-16 15:13:41
29.9,120.45,3,2019-12-16 15:13:41
27.8,120.5,2,2019-12-16 15:13:41
27.45,118.35,1,2019-12-16 15:13:41
30.5,120.4,4,2019-12-16 15:13:41
28.65,117.5,3,2019-12-16 15:13:41
31.7,119.0,1,2019-12-16 15:13:41
28.65,117.95,2,2019-12-16 15:13:41
31.4,117.25,1,2019-12-16 15:13:41
29.6,121.4,13,2019-12-16 15:13:41
31.95,120.2,37,2019-12-16 15:13:41
30.6,119.7,3,2019-12-16 15:13:41
30.65,120.1,1,2019-12-16 15:13:41
30.6,119.65,6,2019-12-16 15:13:41
28.9,117.55,6,2019-12-16 15:13:41
30.7,120.65,8,2019-12-16 15:13:41
29.4,117.65,2,2019-12-16 15:13:41
31.65,119.95,25,2019-12-16 15:13:41
27.05,119.25,2,2019-12-16 15:13:41
31.0,121.35,47,2019-12-16 15:13:41
31.05,118.75,1,2019-12-16 15:13:41
29.1,120.15,1,2019-12-16 15:13:41
28.45,118.0,6,2019-12-16 15:13:41
29.1,120.2,15,2019-12-16 15:13:41
29.55,119.8,1,2019-12-16 15:13:41
26.05,119.25,109,2019-12-16 15:13:41
29.55,119.35,1,2019-12-16 15:13:41
29.05,119.7,1,2019-12-16 15:13:41
30.95,118.95,1,2019-12-16 15:13:41
29.85,121.85,13,2019-12-16 15:13:41
28.35,118.05,2,2019-12-16 15:13:41
26.35,117.75,3,2019-12-16 15:13:41
28.1,120.5,4,2019-12-16 15:13:41
29.85,121.9,14,2019-12-16 15:13:41
31.55,120.4,8,2019-12-16 15:13:41
29.0,119.4,2,2019-12-16 15:13:41
26.15,118.3,3,2019-12-16 15:13:41
30.6,117.85,15,2019-12-16 15:13:41
31.1,121.4,20,2019-12-16 15:13:41
31.2,120.4,1,2019-12-16 15:13:41
29.2,118.3,5,2019-12-16 15:13:41
31.6,120.85,2,2019-12-16 15:13:41
29.05,119.75,12,2019-12-16 15:13:41
29.05,119.3,2,2019-12-16 15:13:41
31.35,117.5,4,2019-12-16 15:13:41
