lat,lon,count,time
30.15,119.85,2,2019-11-19 16:49:17
31.75,117.65,4,2019-11-19 16:49:17
30.65,119.05,2,2019-11-19 16:49:17
30.3,120.25,64,2019-11-19 16:49:17
30.6,117.85,18,2019-11-19 16:49:17
31.75,117.3,30,2019-11-19 16:49:17
31.4,120.6,75,2019-11-19 16:49:17
29.9,121.65,7,2019-11-19 16:49:17
30.5,118.65,1,2019-11-19 16:49:17
31.65,119.75,3,2019-11-19 16:49:17
30.85,117.65,2,2019-11-19 16:49:17
31.8,119.9,18,2019-11-19 16:49:17
28.75,120.05,3,2019-11-19 16:49:17
31.7,118.25,1,2019-11-19 16:49:17
29.45,119.8,1,2019-11-19 16:49:17
30.65,118.45,2,2019-11-19 16:49:17
31.75,117.5,4,2019-11-19 16:49:17
31.0,121.45,1,2019-11-19 16:49:17
30.7,120.95,21,2019-11-19 16:49:17
29.4,117.15,2,2019-11-19 16:49:17
29.85,120.15,1,2019-11-19 16:49:17
29.25,121.95,1,2019-11-19 16:49:17
27.8,120.4,1,2019-11-19 16:49:17
27.8,120.75,9,2019-11-19 16:49:17
31.7,117.1,1,2019-11-19 16:49:17
29.85,121.4,9,2019-11-19 16:49:17
31.55,120.9,3,2019-11-19 16:49:17
31.55,120.85,2,2019-11-19 16:49:17
29.85,121.75,20,2019-11-19 16:49:17
29.2,118.0,1,2019-11-19 16:49:17
31.2,120.35,2,2019-11-19 16:49:17
28.45,118.5,3,2019-11-19 16:49:17
31.25,117.85,2,2019-11-19 16:49:17
31.25,117.9,15,2019-11-19 16:49:17
31.55,118.45,1,2019-11-19 16:49:17
29.75,118.2,3,2019-11-19 16:49:17
31.45,119.4,4,2019-11-19 16:49:17
31.8,121.65,4,2019-11-19 16:49:17
31.7,120.15,1,2019-11-19 16:49:17
31.25,121.6,28,2019-11-19 16:49:17
31.7,120.2,3,2019-11-19 16:49:17
31.45,118.2,2,2019-11-19 16:49:17
28.65,120.0,2,2019-11-19 16:49:17
28.5,118.1,1,2019-11-19 16:49:17
26.2,117.4,2,2019-11-19 16:49:17
30.1,121.45,16,2019-11-19 16:49:17
30.95,119.0,3,2019-11-19 16:49:17
27.35,118.05,21,2019-11-19 16:49:17
29.9,120.2,2,2019-11-19 16:49:17
29.85,120.85,1,2019-11-19 16:49:17
29.15,121.05,19,2019-11-19 16:49:17
31.2,121.45,134,2019-11-19 16:49:17
31.6,119.95,4,2019-11-19 16:49:17
31.1,121.5,28,2019-11-19 16:49:17
28.5,121.5,1,2019-11-19 16:49:17
27.35,119.9,1,2019-11-19 16:49:17
31.1,121.45,2,2019-11-19 16:49:17
31.95,119.65,3,2019-11-19 16:49:17
30.85,120.7,5,2019-11-19 16:49:17
29.9,121.8,13,2019-11-19 16:49:17
27.9,120.55,6,2019-11-19 16:49:17
28.05,117.55,1,2019-11-19 16:49:17
30.15,120.6,9,2019-11-19 16:49:17
28.5,119.05,2,2019-11-19 16:49:17
28.0,120.6,71,2019-11-19 16:49:17
31.8,119.8,2,2019-11-19 16:49:17
30.05,121.05,3,2019-11-19 16:49:17
27.65,120.55,39,2019-11-19 16:49:17
29.15,118.35,4,2019-11-19 16:49:17
31.05,121.45,10,2019-11-19 16:49:17
31.55,120.2,1,2019-11-19 16:49:17
31.7,120.9,5,2019-11-19 16:49:17
28.4,119.95,9,2019-11-19 16:49:17
31.55,120.05,1,2019-11-19 16:49:17
31.4,121.3,2,2019-11-19 16:49:17
30.75,119.6,5,2019-11-19 16:49:17
31.05,121.05,10,2019-11-19 16:49:17
30.9,119.75,2,2019-11-19 16:49:17
31.05,121.65,1,2019-11-19 16:49:17
30.8,121.25,2,2019-11-19 16:49:17
30.9,121.6,19,2019-11-19 16:49:17
31.9,119.15,30,2019-11-19 16:49:17
28.65,117.05,14,2019-11-19 16:49:17
28.25,118.1,3,2019-11-19 16:49:17
30.9,120.35,3,2019-11-19 16:49:17
27.1,120.2,2,2019-11-19 16:49:17
30.65,117.45,18,2019-11-19 16:49:17
31.0,119.45,2,2019-11-19 16:49:17
29.95,120.7,2,2019-11-19 16:49:17
30.1,121.05,5,2019-11-19 16:49:17
30.55,120.75,4,2019-11-19 16:49:17
26.85,120.0,3,2019-11-19 16:49:17
31.85,117.1,10,2019-11-19 16:49:17
31.2,117.3,4,2019-11-19 16:49:17
29.15,119.4,1,2019-11-19 16:49:17
31.2,117.25,2,2019-11-19 16:49:17
31.3,117.4,5,2019-11-19 16:49:17
27.8,119.95,2,2019-11-19 16:49:17
26.1,117.35,1,2019-11-19 16:49:17
31.3,119.0,1,2019-11-19 16:49:17
31.9,120.9,21,2019-11-19 16:49:17
29.3,119.6,2,2019-11-19 16:49:17
28.8,121.15,3,2019-11-19 16:49:17
31.5,118.45,1,2019-11-19 16:49:17
28.35,117.95,2,2019-11-19 16:49:17
31.3,119.4,2,2019-11-19 16:49:17
29.3,119.55,3,2019-11-19 16:49:17
29.55,120.75,25,2019-11-19 16:49:17
31.7,120.8,1,2019-11-19 16:49:17
31.7,120.35,2,2019-11-19 16:49:17
30.85,120.3,1,2019-11-19 16:49:17
31.7,120.4,13,2019-11-19 16:49:17
30.85,120.25,3,2019-11-19 16:49:17
28.55,121.45,12,2019-11-19 16:49:17
29.95,121.6,2,2019-11-19 16:49:17
29.15,120.0,5,2019-11-19 16:49:17
30.95,117.7,1,2019-11-19 16:49:17
31.5,121.0,1,2019-11-19 16:49:17
31.05,121.7,2,2019-11-19 16:49:17
29.6,120.8,2,2019-11-19 16:49:17
30.0,121.65,2,2019-11-19 16:49:17
30.4,120.85,1,2019-11-19 16:49:17
30.7,120.35,1,2019-11-19 16:49:17
30.75,120.6,26,2019-11-19 16:49:17
27.7,120.1,1,2019-11-19 16:49:17
30.7,120.8,2,2019-11-19 16:49:17
29.2,121.9,11,2019-11-19 16:49:17
30.75,120.15,2,2019-11-19 16:49:17
30.7,120.75,1,2019-11-19 16:49:17
31.0,117.8,4,2019-11-19 16:49:17
28.75,117.95,1,2019-11-19 16:49:17
28.95,117.1,27,2019-11-19 16:49:17
30.5,119.65,3,2019-11-19 16:49:17
31.6,120.1,15,2019-11-19 16:49:17
31.35,121.25,67,2019-11-19 16:49:17
31.7,119.55,38,2019-11-19 16:49:17
31.6,120.55,23,2019-11-19 16:49:17
29.8,121.5,30,2019-11-19 16:49:17
31.9,118.9,36,2019-11-19 16:49:17
30.5,120.85,2,2019-11-19 16:49:17
31.9,118.85,12,2019-11-19 16:49:17
29.95,120.2,3,2019-11-19 16:49:17
30.75,119.75,2,2019-11-19 16:49:17
30.5,120.05,1,2019-11-19 16:49:17
31.25,120.45,9,2019-11-19 16:49:17
29.95,120.65,7,2019-11-19 16:49:17
30.7,117.3,2,2019-11-19 16:49:17
29.0,121.05,1,2019-11-19 16:49:17
31.15,119.3,2,2019-11-19 16:49:17
30.9,120.8,3,2019-11-19 16:49:17
30.1,120.5,6,2019-11-19 16:49:17
30.75,120.05,1,2019-11-19 16:49:17
26.15,117.95,2,2019-11-19 16:49:17
31.5,120.0,17,2019-11-19 16:49:17
28.85,121.15,19,2019-11-19 16:49:17
31.45,120.25,83,2019-11-19 16:49:17
31.3,118.05,1,2019-11-19 16:49:17
30.55,117.85,2,2019-11-19 16:49:17
29.3,120.05,40,2019-11-19 16:49:17
26.25,117.85,1,2019-11-19 16:49:17
31.95,118.65,10,2019-11-19 16:49:17
31.55,118.85,3,2019-11-19 16:49:17
30.25,119.7,4,2019-11-19 16:49:17
31.55,118.9,3,2019-11-19 16:49:17
30.25,119.65,2,2019-11-19 16:49:17
26.25,119.45,2,2019-11-19 16:49:17
30.0,120.0,2,2019-11-19 16:49:17
30.5,119.4,1,2019-11-19 16:49:17
31.95,120.55,3,2019-11-19 16:49:17
31.05,118.1,1,2019-11-19 16:49:17
30.5,119.75,3,2019-11-19 16:49:17
31.5,121.65,1,2019-11-19 16:49:17
31.5,121.7,13,2019-11-19 16:49:17
26.15,118.75,2,2019-11-19 16:49:17
30.7,121.2,3,2019-11-19 16:49:17
30.2,118.9,2,2019-11-19 16:49:17
30.55,120.3,2,2019-11-19 16:49:17
31.55,121.2,2,2019-11-19 16:49:17
30.5,117.25,3,2019-11-19 16:49:17
29.95,119.7,22,2019-11-19 16:49:17
