lat,lon,count,time
31.4,118.0,2,2019-10-31 09:54:10
31.65,120.2,10,2019-10-31 09:54:10
29.85,120.1,6,2019-10-31 09:54:10
30.15,121.3,10,2019-10-31 09:54:10
30.15,121.25,21,2019-10-31 09:54:10
27.3,118.25,2,2019-10-31 09:54:10
31.6,118.25,2,2019-10-31 09:54:10
31.75,118.5,1,2019-10-31 09:54:10
31.8,120.1,3,2019-10-31 09:54:10
28.2,120.5,3,2019-10-31 09:54:10
30.8,120.95,44,2019-10-31 09:54:10
31.75,120.9,5,2019-10-31 09:54:10
30.6,119.5,2,2019-10-31 09:54:10
31.9,120.05,9,2019-10-31 09:54:10
31.9,120.45,1,2019-10-31 09:54:10
28.95,121.15,1,2019-10-31 09:54:10
28.75,120.5,10,2019-10-31 09:54:10
31.85,117.5,2,2019-10-31 09:54:10
31.9,121.7,1,2019-10-31 09:54:10
30.65,119.65,1,2019-10-31 09:54:10
28.3,118.2,4,2019-10-31 09:54:10
30.65,121.2,5,2019-10-31 09:54:10
31.8,119.7,1,2019-10-31 09:54:10
30.65,121.15,6,2019-10-31 09:54:10
30.1,120.8,2,2019-10-31 09:54:10
31.6,119.9,9,2019-10-31 09:54:10
31.4,121.1,26,2019-10-31 09:54:10
30.15,120.5,3,2019-10-31 09:54:10
29.45,120.9,24,2019-10-31 09:54:10
31.75,117.9,1,2019-10-31 09:54:10
29.45,120.85,3,2019-10-31 09:54:10
28.1,120.5,13,2019-10-31 09:54:10
31.95,121.55,2,2019-10-31 09:54:10
27.45,119.45,23,2019-10-31 09:54:10
29.05,119.6,40,2019-10-31 09:54:10
28.35,118.1,3,2019-10-31 09:54:10
31.55,120.45,37,2019-10-31 09:54:10
28.85,119.95,11,2019-10-31 09:54:10
31.1,121.35,39,2019-10-31 09:54:10
30.6,117.8,2,2019-10-31 09:54:10
29.05,119.7,2,2019-10-31 09:54:10
31.45,119.55,1,2019-10-31 09:54:10
29.8,118.35,3,2019-10-31 09:54:10
26.75,117.05,1,2019-10-31 09:54:10
31.45,119.6,1,2019-10-31 09:54:10
31.25,117.85,1,2019-10-31 09:54:10
31.25,117.9,11,2019-10-31 09:54:10
31.55,118.45,8,2019-10-31 09:54:10
29.75,118.2,5,2019-10-31 09:54:10
31.45,119.4,4,2019-10-31 09:54:10
31.25,121.55,63,2019-10-31 09:54:10
31.8,121.65,4,2019-10-31 09:54:10
31.7,120.15,2,2019-10-31 09:54:10
31.25,121.6,18,2019-10-31 09:54:10
30.95,118.7,1,2019-10-31 09:54:10
31.45,118.2,2,2019-10-31 09:54:10
31.7,120.2,8,2019-10-31 09:54:10
28.65,120.0,2,2019-10-31 09:54:10
28.5,118.1,2,2019-10-31 09:54:10
31.2,121.1,4,2019-10-31 09:54:10
30.1,121.45,25,2019-10-31 09:54:10
30.95,119.0,1,2019-10-31 09:54:10
27.35,118.05,31,2019-10-31 09:54:10
29.85,120.85,5,2019-10-31 09:54:10
31.85,120.95,5,2019-10-31 09:54:10
31.6,119.95,2,2019-10-31 09:54:10
31.1,121.5,29,2019-10-31 09:54:10
31.1,120.65,24,2019-10-31 09:54:10
31.75,119.0,2,2019-10-31 09:54:10
31.95,119.65,3,2019-10-31 09:54:10
29.65,121.45,30,2019-10-31 09:54:10
29.65,121.5,3,2019-10-31 09:54:10
31.15,120.7,10,2019-10-31 09:54:10
27.7,117.05,15,2019-10-31 09:54:10
28.75,117.65,2,2019-10-31 09:54:10
31.25,121.35,25,2019-10-31 09:54:10
28.4,117.4,1,2019-10-31 09:54:10
30.55,120.95,2,2019-10-31 09:54:10
30.7,121.15,9,2019-10-31 09:54:10
31.65,120.6,2,2019-10-31 09:54:10
30.15,121.35,5,2019-10-31 09:54:10
31.3,121.45,63,2019-10-31 09:54:10
31.3,121.5,64,2019-10-31 09:54:10
31.4,120.9,35,2019-10-31 09:54:10
30.9,120.4,5,2019-10-31 09:54:10
30.15,121.15,7,2019-10-31 09:54:10
30.2,120.0,57,2019-10-31 09:54:10
26.2,117.55,55,2019-10-31 09:54:10
30.15,121.2,65,2019-10-31 09:54:10
29.95,120.7,4,2019-10-31 09:54:10
30.1,121.05,8,2019-10-31 09:54:10
31.0,119.0,3,2019-10-31 09:54:10
30.65,117.9,1,2019-10-31 09:54:10
31.75,117.9,2,2019-10-31 09:54:10
31.35,118.85,2,2019-10-31 09:54:10
30.55,120.75,4,2019-10-31 09:54:10
30.85,119.9,1,2019-10-31 09:54:10
26.85,120.0,1,2019-10-31 09:54:10
31.85,117.1,12,2019-10-31 09:54:10
28.5,118.45,2,2019-10-31 09:54:10
31.2,117.25,5,2019-10-31 09:54:10
27.95,119.05,1,2019-10-31 09:54:10
29.15,119.8,5,2019-10-31 09:54:10
26.55,118.7,1,2019-10-31 09:54:10
31.85,117.45,23,2019-10-31 09:54:10
28.35,117.55,2,2019-10-31 09:54:10
31.3,119.0,4,2019-10-31 09:54:10
31.9,120.9,47,2019-10-31 09:54:10
29.3,119.15,2,2019-10-31 09:54:10
29.35,120.2,4,2019-10-31 09:54:10
31.45,120.85,9,2019-10-31 09:54:10
