lat,lon,count,time
29.0,119.15,7,2019-12-19 19:19:49
30.7,120.75,14,2019-12-19 19:19:49
31.65,118.55,14,2019-12-19 19:19:49
31.75,120.05,11,2019-12-19 19:19:49
29.0,119.75,7,2019-12-19 19:19:49
31.75,120.1,13,2019-12-19 19:19:49
30.7,117.5,2,2019-12-19 19:19:49
29.95,120.1,1,2019-12-19 19:19:49
31.9,120.9,31,2019-12-19 19:19:49
29.95,120.05,1,2019-12-19 19:19:49
31.25,117.8,2,2019-12-19 19:19:49
27.0,120.15,3,2019-12-19 19:19:49
27.9,120.65,14,2019-12-19 19:19:49
27.9,120.7,39,2019-12-19 19:19:49
30.65,121.2,1,2019-12-19 19:19:49
29.45,120.0,10,2019-12-19 19:19:49
31.95,120.95,4,2019-12-19 19:19:49
31.0,121.05,2,2019-12-19 19:19:49
29.3,120.05,114,2019-12-19 19:19:49
30.7,121.0,9,2019-12-19 19:19:49
29.85,120.15,3,2019-12-19 19:19:49
29.8,120.8,3,2019-12-19 19:19:49
28.25,120.1,5,2019-12-19 19:19:49
28.5,121.4,2,2019-12-19 19:19:49
29.1,121.4,2,2019-12-19 19:19:49
30.45,120.85,1,2019-12-19 19:19:49
28.35,117.5,2,2019-12-19 19:19:49
30.65,117.3,2,2019-12-19 19:19:49
31.2,121.1,9,2019-12-19 19:19:49
31.1,117.05,2,2019-12-19 19:19:49
27.05,119.6,2,2019-12-19 19:19:49
31.45,118.2,24,2019-12-19 19:19:49
31.2,121.2,16,2019-12-19 19:19:49
31.95,121.25,2,2019-12-19 19:19:49
30.5,119.95,19,2019-12-19 19:19:49
28.05,119.8,3,2019-12-19 19:19:49
27.3,117.45,19,2019-12-19 19:19:49
31.8,119.95,53,2019-12-19 19:19:49
29.1,121.15,1,2019-12-19 19:19:49
30.25,120.0,30,2019-12-19 19:19:49
30.4,119.8,1,2019-12-19 19:19:49
27.4,120.55,11,2019-12-19 19:19:49
26.2,117.35,4,2019-12-19 19:19:49
31.2,121.1,2,2019-12-19 19:19:49
30.1,121.45,18,2019-12-19 19:19:49
27.35,118.05,23,2019-12-19 19:19:49
29.9,120.2,1,2019-12-19 19:19:49
29.85,120.85,1,2019-12-19 19:19:49
28.2,117.15,2,2019-12-19 19:19:49
28.2,117.2,3,2019-12-19 19:19:49
27.8,118.65,2,2019-12-19 19:19:49
31.1,121.1,13,2019-12-19 19:19:49
30.85,120.5,6,2019-12-19 19:19:49
31.75,119.4,1,2019-12-19 19:19:49
30.15,121.0,6,2019-12-19 19:19:49
29.9,120.15,3,2019-12-19 19:19:49
31.0,121.55,2,2019-12-19 19:19:49
31.25,120.6,67,2019-12-19 19:19:49
31.25,120.55,42,2019-12-19 19:19:49
30.15,120.95,10,2019-12-19 19:19:49
30.7,120.75,38,2019-12-19 19:19:49
27.8,120.5,2,2019-12-19 19:19:49
28.4,119.85,6,2019-12-19 19:19:49
29.5,119.2,1,2019-12-19 19:19:49
30.55,121.0,6,2019-12-19 19:19:49
31.0,117.95,1,2019-12-19 19:19:49
29.95,122.2,40,2019-12-19 19:19:49
26.05,117.7,1,2019-12-19 19:19:49
31.95,120.6,17,2019-12-19 19:19:49
27.6,120.35,3,2019-12-19 19:19:49
31.95,120.15,2,2019-12-19 19:19:49
31.95,120.2,2,2019-12-19 19:19:49
31.55,117.85,9,2019-12-19 19:19:49
30.65,118.75,2,2019-12-19 19:19:49
29.95,120.25,10,2019-12-19 19:19:49
31.0,119.9,34,2019-12-19 19:19:49
29.95,121.2,1,2019-12-19 19:19:49
31.3,119.4,3,2019-12-19 19:19:49
30.85,119.45,1,2019-12-19 19:19:49
28.9,121.5,2,2019-12-19 19:19:49
31.85,117.5,1,2019-12-19 19:19:49
29.7,121.75,2,2019-12-19 19:19:49
31.05,119.8,1,2019-12-19 19:19:49
26.75,120.05,2,2019-12-19 19:19:49
31.85,120.35,10,2019-12-19 19:19:49
29.7,121.8,20,2019-12-19 19:19:49
30.85,119.1,2,2019-12-19 19:19:49
30.7,118.9,10,2019-12-19 19:19:49
31.05,119.35,1,2019-12-19 19:19:49
27.95,119.05,3,2019-12-19 19:19:49
29.15,119.8,3,2019-12-19 19:19:49
28.0,120.9,53,2019-12-19 19:19:49
30.45,120.25,5,2019-12-19 19:19:49
28.0,120.85,21,2019-12-19 19:19:49
31.85,117.45,11,2019-12-19 19:19:49
31.3,119.0,2,2019-12-19 19:19:49
31.9,120.9,48,2019-12-19 19:19:49
29.3,119.6,1,2019-12-19 19:19:49
28.8,121.15,5,2019-12-19 19:19:49
31.5,118.45,2,2019-12-19 19:19:49
29.35,120.2,4,2019-12-19 19:19:49
31.45,120.85,16,2019-12-19 19:19:49
28.55,121.5,42,2019-12-19 19:19:49
31.7,120.8,3,2019-12-19 19:19:49
31.2,121.05,6,2019-12-19 19:19:49
28.4,121.3,11,2019-12-19 19:19:49
29.8,120.45,2,2019-12-19 19:19:49
31.25,120.8,33,2019-12-19 19:19:49
31.25,120.75,16,2019-12-19 19:19:49
29.95,122.35,11,2019-12-19 19:19:49
27.1,118.55,2,2019-12-19 19:19:49
30.8,120.65,2,2019-12-19 19:19:49
28.05,120.85,5,2019-12-19 19:19:49
31.8,120.5,15,2019-12-19 19:19:49
29.85,118.45,6,2019-12-19 19:19:49
31.2,118.6,3,2019-12-19 19:19:49
31.8,120.45,58,2019-12-19 19:19:49
30.15,117.1,1,2019-12-19 19:19:49
29.35,119.8,8,2019-12-19 19:19:49
31.8,120.0,6,2019-12-19 19:19:49
31.8,120.35,18,2019-12-19 19:19:49
30.1,122.05,8,2019-12-19 19:19:49
29.85,121.65,28,2019-12-19 19:19:49
