lat,lon,count,time
30.3,120.25,34,2019-12-17 14:09:08
30.6,117.85,6,2019-12-17 14:09:08
31.25,119.45,2,2019-12-17 14:09:08
30.5,119.05,2,2019-12-17 14:09:08
30.85,121.65,1,2019-12-17 14:09:08
31.75,117.3,50,2019-12-17 14:09:08
31.4,120.55,1,2019-12-17 14:09:08
31.4,120.6,70,2019-12-17 14:09:08
26.1,119.25,21,2019-12-17 14:09:08
31.65,119.0,11,2019-12-17 14:09:08
31.75,119.65,2,2019-12-17 14:09:08
30.6,118.25,2,2019-12-17 14:09:08
30.0,122.15,2,2019-12-17 14:09:08
29.9,121.65,8,2019-12-17 14:09:08
28.65,118.3,4,2019-12-17 14:09:08
29.9,120.0,2,2019-12-17 14:09:08
31.7,118.3,1,2019-12-17 14:09:08
28.85,117.4,2,2019-12-17 14:09:08
30.65,118.45,2,2019-12-17 14:09:08
30.7,120.55,2,2019-12-17 14:09:08
31.0,121.5,3,2019-12-17 14:09:08
31.65,119.85,4,2019-12-17 14:09:08
27.7,118.4,2,2019-12-17 14:09:08
31.65,119.9,18,2019-12-17 14:09:08
29.55,119.85,6,2019-12-17 14:09:08
29.4,121.0,2,2019-12-17 14:09:08
28.25,120.1,3,2019-12-17 14:09:08
31.85,120.0,2,2019-12-17 14:09:08
30.0,119.55,1,2019-12-17 14:09:08
31.4,120.4,1,2019-12-17 14:09:08
30.45,120.0,2,2019-12-17 14:09:08
30.9,119.75,3,2019-12-17 14:09:08
31.45,117.05,1,2019-12-17 14:09:08
28.95,120.3,2,2019-12-17 14:09:08
30.3,120.8,12,2019-12-17 14:09:08
31.2,121.55,118,2019-12-17 14:09:08
31.45,117.4,1,2019-12-17 14:09:08
31.1,118.5,3,2019-12-17 14:09:08
31.1,117.5,2,2019-12-17 14:09:08
29.25,120.15,18,2019-12-17 14:09:08
29.25,120.2,80,2019-12-17 14:09:08
31.65,120.05,6,2019-12-17 14:09:08
30.95,118.25,2,2019-12-17 14:09:08
30.9,121.2,1,2019-12-17 14:09:08
26.95,119.9,1,2019-12-17 14:09:08
31.85,117.3,81,2019-12-17 14:09:08
30.95,119.4,1,2019-12-17 14:09:08
31.85,117.25,118,2019-12-17 14:09:08
28.95,119.0,1,2019-12-17 14:09:08
31.2,121.05,13,2019-12-17 14:09:08
31.2,121.1,5,2019-12-17 14:09:08
31.8,121.45,2,2019-12-17 14:09:08
28.2,117.2,1,2019-12-17 14:09:08
31.1,121.1,9,2019-12-17 14:09:08
31.1,121.05,2,2019-12-17 14:09:08
30.15,121.0,2,2019-12-17 14:09:08
31.95,118.55,2,2019-12-17 14:09:08
30.85,120.3,6,2019-12-17 14:09:08
27.75,120.45,5,2019-12-17 14:09:08
30.85,120.25,2,2019-12-17 14:09:08
27.75,120.5,7,2019-12-17 14:09:08
31.15,120.65,8,2019-12-17 14:09:08
31.95,119.85,1,2019-12-17 14:09:08
27.95,120.5,9,2019-12-17 14:09:08
31.15,120.7,7,2019-12-17 14:09:08
27.7,117.05,13,2019-12-17 14:09:08
28.4,117.4,3,2019-12-17 14:09:08
28.85,119.9,7,2019-12-17 14:09:08
30.55,120.95,3,2019-12-17 14:09:08
31.4,118.8,2,2019-12-17 14:09:08
30.7,121.15,6,2019-12-17 14:09:08
31.05,120.25,1,2019-12-17 14:09:08
31.55,119.7,2,2019-12-17 14:09:08
28.65,117.05,26,2019-12-17 14:09:08
30.9,120.35,1,2019-12-17 14:09:08
30.9,120.4,2,2019-12-17 14:09:08
30.15,121.15,5,2019-12-17 14:09:08
30.2,120.0,66,2019-12-17 14:09:08
28.7,118.4,2,2019-12-17 14:09:08
29.95,120.7,3,2019-12-17 14:09:08
30.1,121.05,2,2019-12-17 14:09:08
31.0,119.0,2,2019-12-17 14:09:08
31.2,119.3,1,2019-12-17 14:09:08
27.8,118.4,2,2019-12-17 14:09:08
30.55,120.8,2,2019-12-17 14:09:08
30.2,121.25,2,2019-12-17 14:09:08
31.35,118.85,1,2019-12-17 14:09:08
31.85,117.1,11,2019-12-17 14:09:08
29.95,120.8,2,2019-12-17 14:09:08
31.2,117.25,4,2019-12-17 14:09:08
31.3,117.4,1,2019-12-17 14:09:08
27.8,119.95,2,2019-12-17 14:09:08
29.15,119.8,2,2019-12-17 14:09:08
26.1,117.35,2,2019-12-17 14:09:08
28.0,120.9,23,2019-12-17 14:09:08
30.45,120.25,3,2019-12-17 14:09:08
31.9,120.9,33,2019-12-17 14:09:08
28.8,121.15,4,2019-12-17 14:09:08
28.35,117.95,3,2019-12-17 14:09:08
29.3,119.55,3,2019-12-17 14:09:08
29.55,120.75,11,2019-12-17 14:09:08
30.35,120.3,39,2019-12-17 14:09:08
30.35,120.25,13,2019-12-17 14:09:08
29.55,120.8,10,2019-12-17 14:09:08
30.85,120.3,3,2019-12-17 14:09:08
31.7,120.4,12,2019-12-17 14:09:08
30.85,120.25,2,2019-12-17 14:09:08
28.55,121.45,13,2019-12-17 14:09:08
29.15,120.0,2,2019-12-17 14:09:08
26.85,119.35,2,2019-12-17 14:09:08
28.5,117.65,2,2019-12-17 14:09:08
29.1,118.35,2,2019-12-17 14:09:08
30.4,120.85,1,2019-12-17 14:09:08
30.75,120.6,38,2019-12-17 14:09:08
30.7,120.8,5,2019-12-17 14:09:08
29.2,121.9,10,2019-12-17 14:09:08
30.75,120.15,5,2019-12-17 14:09:08
27.15,120.35,3,2019-12-17 14:09:08
30.75,120.2,2,2019-12-17 14:09:08
27.15,120.4,12,2019-12-17 14:09:08
