lat,lon,count,time
28.9,119.8,11,2019-12-18 10:34:18
30.85,120.35,2,2019-12-18 10:34:18
29.7,119.65,1,2019-12-18 10:34:18
31.9,120.45,4,2019-12-18 10:34:18
28.95,121.15,1,2019-12-18 10:34:18
31.8,120.5,6,2019-12-18 10:34:18
31.75,120.45,7,2019-12-18 10:34:18
31.65,118.15,2,2019-12-18 10:34:18
31.75,120.5,2,2019-12-18 10:34:18
31.8,120.45,3,2019-12-18 10:34:18
30.7,117.9,1,2019-12-18 10:34:18
28.75,120.6,5,2019-12-18 10:34:18
31.75,119.25,3,2019-12-18 10:34:18
30.95,121.15,8,2019-12-18 10:34:18
31.65,119.1,1,2019-12-18 10:34:18
30.95,121.2,2,2019-12-18 10:34:18
31.65,119.05,2,2019-12-18 10:34:18
29.3,119.65,1,2019-12-18 10:34:18
30.8,117.25,1,2019-12-18 10:34:18
27.75,120.2,1,2019-12-18 10:34:18
29.3,119.7,3,2019-12-18 10:34:18
31.15,121.3,42,2019-12-18 10:34:18
26.05,119.35,3,2019-12-18 10:34:18
30.65,121.15,2,2019-12-18 10:34:18
29.05,119.2,6,2019-12-18 10:34:18
31.15,121.0,3,2019-12-18 10:34:18
29.5,120.75,7,2019-12-18 10:34:18
26.45,117.35,1,2019-12-18 10:34:18
31.75,121.75,1,2019-12-18 10:34:18
31.75,121.8,2,2019-12-18 10:34:18
30.45,120.45,8,2019-12-18 10:34:18
29.75,120.45,2,2019-12-18 10:34:18
31.45,117.35,8,2019-12-18 10:34:18
28.45,118.05,2,2019-12-18 10:34:18
31.2,121.55,94,2019-12-18 10:34:18
30.65,117.7,2,2019-12-18 10:34:18
31.1,118.5,2,2019-12-18 10:34:18
31.1,117.15,2,2019-12-18 10:34:18
31.95,117.3,2,2019-12-18 10:34:18
31.15,117.95,2,2019-12-18 10:34:18
29.55,120.7,1,2019-12-18 10:34:18
28.4,117.95,51,2019-12-18 10:34:18
29.7,120.0,1,2019-12-18 10:34:18
31.25,121.55,81,2019-12-18 10:34:18
31.25,121.6,14,2019-12-18 10:34:18
31.7,120.2,3,2019-12-18 10:34:18
31.45,118.2,2,2019-12-18 10:34:18
31.8,121.7,1,2019-12-18 10:34:18
30.5,120.05,4,2019-12-18 10:34:18
30.5,120.1,6,2019-12-18 10:34:18
27.4,120.55,5,2019-12-18 10:34:18
31.3,121.0,6,2019-12-18 10:34:18
29.45,117.45,3,2019-12-18 10:34:18
28.7,118.55,3,2019-12-18 10:34:18
31.0,121.15,5,2019-12-18 10:34:18
29.55,121.85,7,2019-12-18 10:34:18
26.6,118.85,1,2019-12-18 10:34:18
30.25,118.1,4,2019-12-18 10:34:18
26.2,119.5,4,2019-12-18 10:34:18
28.75,121.6,8,2019-12-18 10:34:18
30.25,121.15,2,2019-12-18 10:34:18
31.7,121.65,2,2019-12-18 10:34:18
30.8,119.8,1,2019-12-18 10:34:18
30.25,121.2,4,2019-12-18 10:34:18
26.65,118.15,29,2019-12-18 10:34:18
28.85,118.3,1,2019-12-18 10:34:18
28.0,120.65,12,2019-12-18 10:34:18
31.5,119.95,3,2019-12-18 10:34:18
30.15,120.55,2,2019-12-18 10:34:18
26.05,119.3,2,2019-12-18 10:34:18
28.1,119.55,3,2019-12-18 10:34:18
27.8,120.45,3,2019-12-18 10:34:18
28.4,117.85,25,2019-12-18 10:34:18
31.45,118.5,5,2019-12-18 10:34:18
30.7,122.45,3,2019-12-18 10:34:18
31.4,117.5,1,2019-12-18 10:34:18
27.5,120.45,5,2019-12-18 10:34:18
30.65,119.6,4,2019-12-18 10:34:18
31.05,121.7,21,2019-12-18 10:34:18
30.2,120.45,8,2019-12-18 10:34:18
26.2,118.85,2,2019-12-18 10:34:18
30.2,120.4,21,2019-12-18 10:34:18
30.45,117.75,5,2019-12-18 10:34:18
31.45,119.95,2,2019-12-18 10:34:18
30.2,120.35,13,2019-12-18 10:34:18
30.15,120.35,14,2019-12-18 10:34:18
31.35,120.9,35,2019-12-18 10:34:18
31.35,120.85,23,2019-12-18 10:34:18
31.75,118.3,1,2019-12-18 10:34:18
31.2,119.4,2,2019-12-18 10:34:18
30.2,121.3,18,2019-12-18 10:34:18
31.9,121.15,2,2019-12-18 10:34:18
28.5,118.5,2,2019-12-18 10:34:18
30.6,120.15,6,2019-12-18 10:34:18
30.6,120.2,2,2019-12-18 10:34:18
28.95,119.1,2,2019-12-18 10:34:18
31.2,117.3,2,2019-12-18 10:34:18
31.2,117.25,8,2019-12-18 10:34:18
31.3,117.4,4,2019-12-18 10:34:18
31.5,118.05,1,2019-12-18 10:34:18
31.85,117.45,9,2019-12-18 10:34:18
28.35,117.55,2,2019-12-18 10:34:18
31.3,119.0,1,2019-12-18 10:34:18
30.8,121.6,2,2019-12-18 10:34:18
31.9,120.9,33,2019-12-18 10:34:18
29.3,119.6,2,2019-12-18 10:34:18
28.3,120.45,2,2019-12-18 10:34:18
28.55,121.5,9,2019-12-18 10:34:18
31.7,120.75,2,2019-12-18 10:34:18
28.3,120.5,1,2019-12-18 10:34:18
29.95,121.55,16,2019-12-18 10:34:18
29.95,121.6,12,2019-12-18 10:34:18
31.2,120.65,2,2019-12-18 10:34:18
29.15,120.0,4,2019-12-18 10:34:18
28.5,117.65,1,2019-12-18 10:34:18
29.3,119.85,3,2019-12-18 10:34:18
30.7,120.8,6,2019-12-18 10:34:18
29.2,121.9,12,2019-12-18 10:34:18
30.75,120.15,2,2019-12-18 10:34:18
27.15,120.4,6,2019-12-18 10:34:18
29.6,120.75,1,2019-12-18 10:34:18
28.0,119.1,3,2019-12-18 10:34:18
28.5,118.4,2,2019-12-18 10:34:18
30.6,121.1,2,2019-12-18 10:34:18
31.15,117.65,1,2019-12-18 10:34:18
31.7,119.95,23,2019-12-18 10:34:18
29.35,120.45,2,2019-12-18 10:34:18
28.6,119.2,2,2019-12-18 10:34:18
29.8,121.4,9,2019-12-18 10:34:18
29.35,118.1,3,2019-12-18 10:34:18
30.85,119.4,32,2019-12-18 10:34:18
30.85,119.9,2,2019-12-18 10:34:18
29.45,120.1,11,2019-12-18 10:34:18
28.65,117.05,60,2019-12-18 10:34:18
29.1,119.35,2,2019-12-18 10:34:18
27.3,118.1,41,2019-12-18 10:34:18
27.95,117.35,1,2019-12-18 10:34:18
